"Granada Aeropuerto"
Actualizado: martes, 13 enero 2015 a las 12:32 hora oficial

"Fecha y hora oficial","Temperatura (ºC)","Velocidad del viento (km/h)","Dirección del viento","Racha (km/h)","Dirección de racha","Precipitación (mm)","Presión (hPa)","Tendencia (hPa)","Humedad (%)"
"13/01/2015 12:00","8.5","0","Calma","5","Sudoeste","0.0","961.3","0.4","68"
"13/01/2015 11:00","5.3","0","Calma","4","Oeste","0.0","961.7","1.0","83"
"13/01/2015 10:00","2.6","0","Calma","8","Sudoeste","0.0","961.4","0.9","94"
"13/01/2015 09:00","1.1","4","Sudoeste","5","Sudoeste","0.0","960.9","0.7","97"
"13/01/2015 08:00","1.2","4","Sudoeste","8","Oeste","0.0","960.7","0.1","96"
"13/01/2015 07:00","2.3","0","Calma","8","Noroeste","0.0","960.5","-0.6","93"
"13/01/2015 06:00","3.0","3","Oeste","5","Oeste","0.0","960.2","-1.3","93"
"13/01/2015 05:00","2.6","2","Sudeste","5","Sudeste","0.0","960.6","-1.1","95"
"13/01/2015 04:00","2.3","0","Calma","5","Oeste","0.0","961.1","-0.7","93"
"13/01/2015 03:00","3.6","3","Sudoeste","8","Sudoeste","0.0","961.5","-0.8","89"
"13/01/2015 02:00","4.5","4","Sudoeste","5","Noroeste","0.0","961.7","-0.8","87"
"13/01/2015 01:00","4.9","0","Calma","4","Norte","0.0","961.8","-0.7","82"
"13/01/2015 00:00","6.0","0","Calma","8","Norte","0.0","962.3","-0.3","75"
"12/01/2015 23:00","8.7","0","Calma","8","Oeste","0.0","962.5","0.2","65"
"12/01/2015 22:00","8.8","3","Oeste","11","Noroeste","0.0","962.5","0.4","65"
"12/01/2015 21:00","10.3","0","Calma","8","Noroeste","0.0","962.6","0.8","57"
"12/01/2015 20:00","10.3","3","Norte","8","Norte","0.0","962.3","0.8","57"
"12/01/2015 19:00","12.5","4","Sudoeste","13","Sur","0.0","962.1","0.6","48"
"12/01/2015 18:00","13.6","4","Sur","22","Sudeste","0.0","961.8","-0.7","44"
"12/01/2015 17:00","15.3","7","Este","22","Sur","0.0","961.5","-1.4","35"
"12/01/2015 16:00","16.0","12","Este","22","Nordeste","0.0","961.5","-2.7","34"
"12/01/2015 15:00","15.2","0","Calma","5","Este","0.0","962.5","-2.9","35"
"12/01/2015 14:00","15.0","0","Calma","8","Noroeste","0.0","962.9","-3.3","33"
"12/01/2015 13:00","13.7","0","Calma","8","Oeste","0.0","964.2","-1.6","39"
